opinions,id,text,model_pred
"[{'sentiment': 'Negative', 'aspect': 'price'}]",1430,    LOCATION1 is transforming and the prices will go up and up LOCATION1,[{'aspect': 'price'}]
"[{'sentiment': 'Positive', 'aspect': 'shopping'}]",2013,  Along LOCATION1 there are lots of Electronics shops (independent ones) LOCATION1,[{'aspect': 'shopping'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",1244,  And LOCATION1 is ten mins direct on the tube to LOCATION2:   LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'nightlife'}]",209,  Another option is LOCATION1 which is very central and has tons of clubs/bars within walking distance of each other LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'transit-location'}]",209,  Another option is LOCATION1 which is very central and has tons of clubs/bars within walking distance of each other LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2824,  Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice  LOCATION1,[{'aspect': 'general'}]
"[{'sentiment': 'Positive', 'aspect': 'general'}]",2824,  Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice  LOCATION2,[{'aspect': 'general'}]
"[{'sentiment': 'Negative', 'aspect': 'transit-location'}]",1835,  Central London based taxis mostly refuse fares to suburban areas like LOCATION1 LOCATION1,[{'aspect': 'transit-location'}]
"[{'sentiment': 'Negative', 'aspect': 'general'}]",1429,  Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Negative', 'aspect': 'live'}]",1429,  Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Negative', 'aspect': 'safety'}]",1429,  Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in LOCATION1,[{'aspect': 'live'}]
"[{'sentiment': 'Positive', 'aspect': 'multicultural'}]",190,  Everyone in LOCATION1 is now black or Bangladeshi LOCATION1,[{'aspect': 'multicultural'}]
"[{'sentiment': 'Negative', 'aspect': 'general'}]",1281,  For gods sake don't move to LOCATION1 its horrible LOCATION1,[{'aspect': 'general'}]
