opinions,id,text,model_pred
"[{'sentiment': 'Positive', 'aspect': 'safety', 'target_entity': 'LOCATION1'}]",153,   LOCATION1 is in Greater London  and is a very safe place,[{'sentiment': 'Positive'}]
"[{'sentiment': 'Positive', 'aspect': 'general', 'target_entity': 'LOCATION1'}]",1130,  All the neighborhoods around LOCATION1 are very nice and safe,[{'sentiment': 'Positive'}]
"[{'sentiment': 'Positive', 'aspect': 'safety', 'target_entity': 'LOCATION1'}]",1130,  All the neighborhoods around LOCATION1 are very nice and safe,[{'sentiment': 'Positive'}]
"[{'sentiment': 'Negative', 'aspect': 'general', 'target_entity': 'LOCATION1'}]",1271,"  Cheap is LOCATION2, LOCATION1, but not really cool",[{'sentiment': 'Positive'}]
"[{'sentiment': 'Positive', 'aspect': 'price', 'target_entity': 'LOCATION1'}]",1271,"  Cheap is LOCATION2, LOCATION1, but not really cool",[{'sentiment': 'Positive'}]
"[{'sentiment': 'Positive', 'aspect': 'price', 'target_entity': 'LOCATION2'}]",1271,"  Cheap is LOCATION2, LOCATION1, but not really cool",[{'sentiment': 'Positive'}]
"[{'sentiment': 'Negative', 'aspect': 'general', 'target_entity': 'LOCATION2'}]",1271,"  Cheap is LOCATION2, LOCATION1, but not really cool",[{'sentiment': 'Positive'}]
"[{'sentiment': 'Negative', 'aspect': 'general', 'target_entity': 'LOCATION1'}]",1089,  Dont Try LOCATION1,[{'sentiment': 'Negative'}]
"[{'sentiment': 'Positive', 'aspect': 'price', 'target_entity': 'LOCATION1'}]",494,  I hear that under LOCATION1 is quite cheap,[{'sentiment': 'Positive'}]
"[{'sentiment': 'Negative', 'aspect': 'safety', 'target_entity': 'LOCATION1'}]",207,  I liv in tower hamlets in LOCATION1 which is a place where a lot of violence happens wiv gangs e,[{'sentiment': 'Negative'}]
"[{'sentiment': 'Positive', 'aspect': 'general', 'target_entity': 'LOCATION1'}]",1485,  I live in LOCATION2 and would really recommend it or the surrounding areas ( LOCATION1),[{'sentiment': 'Positive'}]
"[{'sentiment': 'Positive', 'aspect': 'general', 'target_entity': 'LOCATION2'}]",1485,  I live in LOCATION2 and would really recommend it or the surrounding areas ( LOCATION1),[{'sentiment': 'Positive'}]
"[{'sentiment': 'Negative', 'aspect': 'general', 'target_entity': 'LOCATION1'}]",374,  I only go to LOCATION1 to  IKEA - I find it depressing - so I don't go anymore,[{'sentiment': 'Negative'}]
"[{'sentiment': 'Positive', 'aspect': 'general', 'target_entity': 'LOCATION2'}]",1428,  I used to live in LOCATION1 just down the road years ago and the whole of that area was horrible then I live in LOCATION2 now which is lovely,[{'sentiment': 'Positive'}]
"[{'sentiment': 'Negative', 'aspect': 'general', 'target_entity': 'LOCATION1'}]",1428,  I used to live in LOCATION1 just down the road years ago and the whole of that area was horrible then I live in LOCATION2 now which is lovely,[{'sentiment': 'Positive'}]
"[{'sentiment': 'Positive', 'aspect': 'general', 'target_entity': 'LOCATION1'}]",539,"  I would go for LOCATION1, which has a 'villagey' feel about it and (from my experience) is very safe and very attractive ",[{'sentiment': 'Positive'}]
"[{'sentiment': 'Positive', 'aspect': 'safety', 'target_entity': 'LOCATION1'}]",539,"  I would go for LOCATION1, which has a 'villagey' feel about it and (from my experience) is very safe and very attractive ",[{'sentiment': 'Positive'}]
"[{'sentiment': 'Positive', 'aspect': 'general', 'target_entity': 'LOCATION1'}]",244,"  I would personally recommend the LOCATION1, in the east of the London",[{'sentiment': 'Positive'}]
"[{'sentiment': 'Positive', 'aspect': 'general', 'target_entity': 'LOCATION1'}]",1161,  I would suggest LOCATION1 its only 15 minutes away on the train and the north circular is only 15 minute drive down ,[{'sentiment': 'Positive'}]
"[{'sentiment': 'Positive', 'aspect': 'general', 'target_entity': 'LOCATION1'}]",605,  I wouldn't say the LOCATION1 is a  hole like the other person did,[{'sentiment': 'Negative'}]
